Author,Content,Rating,Date
Neeraj Singh,good night,5,2025-01-01
Vishal Bansode,Extremely amazing app,5,2025-01-01
Muhammad Thabrez,Mera marketplace tik karo salooo,1,2025-01-01
PAWAN KUMAR (Pintu),Story not uploaded 😢😢,4,2025-01-01
"Al Haj Bouchi , Algeria",Excellent,4,2025-01-01
Sukhen Barman,very nice app,5,2025-01-01
ASSAM CAP10,so solo reels 🤬,5,2025-01-01
MD Jalal,😘,5,2025-01-01
areeb zai,Nice app,5,2025-01-01
Foroz Sk,Good platform,5,2025-01-01
md Akramul Sorkar,hapi,5,2025-01-01
Rupesh Singh,the best,5,2025-01-01
Md Aasif ali,niec,5,2025-01-01
Subhadeep Bera,GOOD 😊😊,4,2025-01-01
Tommy,Hello my lady,5,2025-01-01
Sk Abul Kashem,abnormal account verification,3,2025-01-01
-TRKE- 0.7 Gamer,Please try again later to add 📴,5,2025-01-01
beauty kayembe,excellent,5,2025-01-01
Dipen Dhang,ABHIJIT 😈😈,5,2025-01-01
Raja Ishtiaq Hussain,امیزنگ سوشل میڈیا پلیٹ فارم,5,2025-01-01
arindam halder,good job,5,2025-01-01
Pretam Rudra,Don't show adult or sexual video,5,2025-01-01
Phomolo Tebeila,this is great 👍 👌,2,2025-01-01
Rajpal Kumar,Dikha,1,2025-01-01
Gurpreet Gill,Kase ca VC cocomelon bubb bunk yh,5,2025-01-01
Esrat Mansuri,very good 💕❤️,5,2025-01-01
Lideesha Kavinda,😚🤑,5,2025-01-01
Romeo Abanto jr,Good job,5,2025-01-01
Chanchal Chakma,Sidol d ton ho nhi,3,2025-01-01
Nick Name,"i don't understand what's wrong with this marketplace, I used it few days ago, today i tired to open but can't - ""Marketplace isn't available to you"", sometimes it's available sometimes not available, why? what's wrong with this marketplace? it's so annoying ....",1,2025-01-01
Marti Huskey,Do not use any of my information.,1,2025-01-01
Jeetu Kumar,Jituji,5,2025-01-01
Tawrat Sk,thanks full,5,2025-01-01
Taukir Alam,Facebook problem,5,2025-01-01
Abubakar Khan,Yas,5,2025-01-01
Md Kawsar,wonderful,5,2025-01-01
Rajesh Moktan,nice,5,2025-01-01
Shawon Sikdar,So much good but 😔 i can't do play the free Facebook 😔💔,4,2025-01-01
Flo Smith,"My app hacked since 27th Dec, get no response except codes, which does nothing..my email and password hacked with account or changed!!!!! HELP HELP HELP..",1,2025-01-01
Monvil Liberiste,"Débloqué mes pages pourquoi Facebook bloque mes pages . I want to do live, about page i can't",5,2025-01-01
Sashid Nikesha,Wow,5,2025-01-01
Wagay Aquib,best aap,5,2025-01-01
Mohammad Shuruj Ali,for you ❤️😉,5,2025-01-01
Akib Alvi,Oky my fawreat aap,5,2025-01-01
Nabga Ayakson,♥️♥️♥️♥️♥️,5,2025-01-01
Asani Kallung,Nicee.....🥰😍😍,5,2025-01-01
Win Htay,excellent app,5,2025-01-01
Ronald lewis,Great friendly family run bar...with great atmosphere and people....love it!,5,2025-01-01
ভালোবাসার এলবাম,Very good,5,2025-01-01
Nisarbhai Ghanchi,6778 hattori hattori,5,2025-01-01
"Prem Chandra Gorain,",excellent 👌,5,2025-01-01
Santosh Kumar,Asirssa 828411,1,2025-01-01
Vikram saini,sexual contend bad,3,2025-01-01
MPADHMAMMA Padhma,Super,5,2025-01-01
"Bree Dipple,supple",so good,5,2025-01-01
Khalek Choudhary,Khalid chaudhari,5,2025-01-01
Karina Hembram,Wow this very nice app to connect with others.,5,2025-01-01
Sayyad Syalam,TT copy video 📷 📸📷 I it's ok to u all the time of India Today,4,2025-01-01
Parmeshwar Mahto,मलिक का100,5,2025-01-01
KIRAN KUMAR SHARMA (P.Vishnu Sharma),😊Very good feeling I like this💕,5,2025-01-01
Kabita Behera,Kabitabehera,1,2025-01-01
Kakakheel Twonpeshawar,زبردست,5,2025-01-01
Roni Mia,Love,5,2025-01-01
Michelle Rogers,"I love the one who died for us on the cross, so we might live forever !",5,2025-01-01
Ali 98,Nice aap bro 🎥🎥🎥,5,2025-01-01
Jeyie,maligayang Pasco sa inyong lahat,5,2025-01-01
Shafiul Islam,Safiul alom,2,2025-01-01
Monika Devi,Thank you 💕,5,2025-01-01
Abcd Tsj,💔💔💔,5,2025-01-01
Biswajit Das,very very good,4,2025-01-01
piyush,The auto dimming in videos is an unneeded feature and causes lots of eye strain. Instead of putting clear mode in options put the dim mode.,1,2025-01-01
Alice Kanyanta,Fu. Niture,5,2025-01-01
AS Shawon,Good 😊😊,5,2025-01-01
Swarup Das,😘😍😘😍😍😍😍,2,2025-01-01
Shamim Hossain,very nice,5,2025-01-01
Julia Ntsiapane,not bad,3,2025-01-01
Zenon Marian Dabek,problems !!! the application does not work,1,2025-01-01
Saimon Parajuli,Hello Facebook I need a help I can't remove my number from my account the code has been sending in other person number please help me my account name is Hanuman Hanuman,5,2025-01-01
Prince sarder,best,5,2025-01-01
Mohammad Faruk,Bahut achha app hai 👍👍,5,2025-01-01
Ko Lay,aung,5,2025-01-01
Ahir Deepak Yadav,ok,5,2025-01-01
Bilal Hassan,Nice aap. Vary easy to understand,5,2025-01-01
Sonukinu Sharma,good aap,5,2025-01-01
mitto shah,glotesqtb,4,2025-01-01
alfred baronda,Good apps its usable,5,2025-01-01
Atta Ur Rahman,👍👍,5,2025-01-01
FUNNY VIDEOS,good fb team thanks,5,2025-01-01
Noor Hasan,Fasbook story nhi dekh rahe hai,5,2025-01-01
Yvonne St Clair,I remember the good old days lol 😆,5,2025-01-01
I. A.M,Just One Thing Fabulous... & Expecting more better in future....,5,2025-01-01
Amal Roy,What's,5,2025-01-01
Kingsley Okoronkwo,great,5,2025-01-01
Satar Khan66,dear Facebook team my Facebook account not show the video options thanks,4,2025-01-01
Dilkhush Kumar,Dilkhush kumar ❤️,1,2025-01-01
Mahdi Yt,Good🥰❤,5,2025-01-01
Md Ja,ভালো,5,2025-01-01
Babar Ali,I love you 💗😘,5,2025-01-01
Sonali Gharge,Bad experience Quality bad..I am not interested,1,2025-01-01
Ramniwash Parihar,story not seen,1,2025-01-01
kabukaga edwin,Very fantastic,5,2025-01-01
SAHIL KUMAR,5satar,5,2025-01-01
Black 444 Black 444,Op,5,2025-01-01
Prince Zeeshan Ali,nice app 👍,5,2025-01-01
caleb lazarus,nice one,5,2025-01-01
Orhlan Tech,Great,5,2025-01-01
Gopinath Karmakar,thank you Facebook👌🌷🌹💐🎉🎁,5,2025-01-01
Fozirul Hoque,Story mute problem,5,2025-01-01
Michelle Williams,had a GREAT experience!!!! LOVE our sister tatoos!!!!,5,2025-01-01
Wajidhussain Korai,Zaberdast Introduce with world,5,2025-01-01
bcb Bxxb,I open my old acciont but she no open i have old acciont numbar cod coming but she no working whin i new cod feed she goving googl virekshan why,1,2025-01-01
Rumi Khatun,suna,5,2025-01-01
Lance Fager,"it's facebook. we all use it, and they use us. why Google wants a review like it'll get more people to download it is beyond me.",1,2025-01-01
Gold Reign,Pls install my messager,4,2025-01-01
Prem kumar,Story nahi dikh Raha hai Facebook par,3,2025-01-01
Anil Tudu,AnilTudu,5,2025-01-01
Mohd Husain,Hii Nice,5,2025-01-01
AHTESHAM SHAIKH,Time West apps,1,2025-01-01
Manoj Sharma,"Title: Unfair Account Deletion / no reason My account was deleted without any explanation, wiping out all my purchases and app data. Support was unhelpful and offered no solution. Meta needs a fair and transparent process for account management.",1,2025-01-01
Sm Samad321,supper,5,2025-01-01
Rohit kushwaha,nice work,5,2025-01-01
Wasikul Alam,Yes Wasikul67,5,2025-01-01
new,Aight,5,2025-01-01
Momena Begum,ওয়াও নাইস,5,2025-01-01
Wharlon Blanco,Sucses apps,5,2025-01-01
Raman Yadav g,yadav boys 01,5,2025-01-01
Saim Mughal,MÛGHÂLSARKAR,1,2025-01-01
Himanshu Shrimp vastav,👌👌,4,2025-01-01
Bijay Raj,Facebook story not open,5,2025-01-01
J.D. Poulin,"Why does the app keep getting worse and worse? I can no longer zoom on pictures, or if I try to view photos in an album then im stuck backing out of the menu to save, share or report the photo and im sick of it. This steady decline just makes me want to get rid of the app but it's the most popular social media to stay in touch with people around you.",1,2025-01-01
Obse A/m Aliyi,Thank you for your help,5,2025-01-01
Jhyam Ranawat,Bad,1,2025-01-01
Surya Gouda,Please lifting,1,2025-01-01
khunkyaw soe,use,5,2025-01-01
Abulhasan abulhasan,super,5,2025-01-01
Tsuno Lam,Dang this app found soo many girls on this app🤣,5,2025-01-01
Rahin Shake,ইí Mm৮ñn,4,2025-01-01
Nayeem,১ঢিউয়য়ঐৃ,1,2025-01-01
Shrikant kumar Kumar,Best,5,2025-01-01
Rayan James,Very bad,1,2025-01-01
Wami Katanga,Most effective app ever.,5,2025-01-01
Kiran L,Chandu,5,2025-01-01
Mr Arain,hy evry one,5,2025-01-01
Md.Hafiz Ansari,Facebook story is not showing,1,2025-01-01
james Ayoola,AYOOLA JAMES,1,2025-01-01
Naveen Kumar,very well,5,2025-01-01
Vinay Dubey,क् hjgx hy,5,2025-01-01
Baloyi Wanga,Great 🥰,5,2025-01-01
Rinku Mandal,good 👍,5,2025-01-01
Raju Ahmed,I love it,5,2025-01-01
Muhammad Mustafa,I am using Facebook from last 8 years but after 2 to 3 years you guys suspend my account's because of fake reasons. You guys have more than 10M+ downloads but still you don't pay attention on your users. This is the last time i am gonna make a new account and if you guys suspend my account again then i will see you in the court. Its so annoying for me now.,2,2025-01-01
Don chi Amaechi,Pls I can't access my account again I don't no why,5,2025-01-01
Prachir Rupock,nice social platform,5,2025-01-01
Md sohag Hossen,ডকচহকগআ,5,2025-01-01
Camara Victor,Really good is the best app,5,2025-01-01
Papu Bora,so happy with facebook,5,2025-01-01
Vivian McCarthy,Why does this app still exist?! It has no purpose.,1,2025-01-01
seane Flestado,"I can't change my password, It says error whenever I try to change it.",1,2025-01-01
Allah Islam,Nasim Islam👿👿,5,2025-01-01
Md Shahed,My Motivation 🫶🌸,5,2025-01-01
Pipivi Zhimo,"Sorry, I have disobeyed Facebook rules, but why where all my instagram accounts suspended? I have many cherished memories on instagram and didn't do anything wrong. Please recover all my accounts. :)",1,2025-01-01
gilberto jalimao,amazingly exciting discover places and people,5,2025-01-01
Sameer Rangrazz,Miss,5,2025-01-01
Ajabiokum Peter,"1 / 1 / 2025 This app have been one of the best, it helps a lot, the communications perfect, it's really fun being part of it, just resently am having a loading issue, and it hots, I hope it will be solved",5,2025-01-01
tushar sharma,You send me updates on someone replying on my comment and I can't see it. Wat u going sh**,1,2025-01-01
Anku Babu,hero.....,5,2025-01-01
William Williams,Marvelous,5,2025-01-01
Monu Kumar,Wozukn,5,2025-01-01
Rohit Kumar,On My facebook public story is not showing to me ! Please solve it as soon as!,5,2025-01-01
Subhash Shakya,Sexy picture,5,2025-01-01
Ranjeet Kumar,Good apps,5,2025-01-01
Md Habil,MD king Raaz,5,2025-01-01
Mottalib MD,অনেক ভালো কিন্তু কোনো প্রেম হলো না এই ফেসবুকে এটাই একটু কষ্ট দাইক তা ছাড়া সব কিছু মোটামুটি চলে 😄,5,2025-01-01
Ronald Becker,My great granddaughter with more strength than my Harley!!!,5,2025-01-01
Khan,Fruitful and needable,5,2025-01-01
Christine Joy Ancero,my messenger is different from others. idk. it says that mine was corrupted. what to do?,1,2025-01-01
Bagyi John,နှစ်သစ်ကစပြီးသောင်းကျမ်းသူများအားလုံးချုပ်ငြိမးပြီးအေးချမ်းတဲ့တိုင်းပြည်ဖြစ်ပါစေ,5,2025-01-01
Rahul Rawat,Yewpurew2 to us to 6k in the,5,2025-01-01
keshav sharma,wow,5,2025-01-01
John Paul Cinco,so nice,5,2025-01-01
Maccido Abubakar,Any one,5,2025-01-01
Farhan Salem,good life with Facebook 🤍,5,2025-01-01
Ali Gohar,💯🙏🥰,5,2025-01-01
Ahkeng Cloud,Awesome,5,2025-01-01
Asmita Pokhrel,💪,5,2025-01-01
Reyaz Wani,I am giving only one star because there is lot of bugs aded,1,2025-01-01
Cham Siingwa,Great social app in everyway,5,2025-01-01
md Zoherahmad,"Sir, for the last two days I have not been able to upload stories on Facebook nor am I able to see other's stories. How can I fix this?I am very upset because of this. In such a situation, what will be the use of Facebook? Neither the videos play properly, I have to start them again and again. Sir, for the last two days I have not been able to upload stories on Facebook nor am I able to see other's stories. How can I fix this?I am very upset because of this. In such a situation, what will be the",2,2025-01-01
Pro Kemics,It's a good application I love it,5,2025-01-01
Falconpetermontalva Elona,nice amazing,3,2025-01-01
Love Mia,it's a nice app,3,2025-01-01
Ibrahim Khaleel,use for better life👍,5,2025-01-01
Shushant Priya Ranjan,Bhai,5,2025-01-01
Mantu Shaw,This is a very bad app,5,2025-01-01
Ali Raza,Very good very nice very proud,5,2025-01-01
Alvine Salee,Ats nice,5,2025-01-01
April Donato,💞,5,2025-01-01
Foysal Ahmed,Facebook our world famous app. This app very interesting and promising app.,2,2025-01-01
Arjun Roy,Ww Aaj er who/8a Er hv to set a new year an in QR At QR codes of bi tu i,5,2025-01-01
Md Soliman,supar,5,2025-01-01
Mr rizwan 701,Badaya hai,5,2025-01-01
Boby Nishad,Boby verma ☺️ ❤️ ♥️,5,2025-01-01
Ganesh Khatree,Hlo please solve my fb problem my fb problem was I didn't login to any app with FB please solve this 😭😞,5,2025-01-01
Suresh Kumar Jain,happy new year,5,2025-01-01
Puneet Mehta,Good service,5,2025-01-01
Khabin Magar,This app is amazing i love this app,5,2025-01-01
Sayed Jalal Badshah,"Don't recommend posts and pages or groups in my feed or timeline if I am not following it, facebook's value is decreasing day by day. 👎🏻",1,2025-01-01
Rajkaran Awasthi,7u,4,2025-01-01
Oke Favor,Qwertyuuiiiooikk,1,2025-01-01
Dolhan,Good app,4,2025-01-01
Sakib Sk,bekar,3,2025-01-01
Nitish Yadav,Hii sir view problem,5,2025-01-01
Sagar Sarkar086,"Worst app. The content suggestions are v.worst. after after clicking not interested, same kind of content are being suggested. It can make a youth bad bcz of normalisation of sexual content on Facebook. If these continue, there may be ban on these app. Better, suggest good content and as per as interest of people, don't just give sexual content for sake of anything rubbish. Very very very worst fellow app.",1,2025-01-01
Munesh Kumar,👍🏻,5,2025-01-01
Sujeet kumar Yadav,Nahi aa raha hai fecebook ka stetar Q,5,2025-01-01
Orbit Sojib Rana,osam,5,2025-01-01
Captain azhar,nice app for entertainment,4,2025-01-01
Sunile Kumar,yes we should go jjj,5,2025-01-01
MD RISHAD,I appeciate this application for connect people easy from whole world,5,2025-01-01
ABDUR ROHOMAN,"better than another platform, if people need earning money can do, people need business can do, I love and like from Bangladesh.",5,2025-01-01
Punit Rawat,KiranRawat KiranRawat,5,2025-01-01
Harish Gupta,absolutely 💫,5,2025-01-01
Pankaj Kumar,Super duper,5,2025-01-01
Bilal Khan,Tetrwark,5,2025-01-01
kamaru bai,Thank you Facebook the network where you can meet and get to know beautiful views friendships and thoughts from any corner of the world ❤️🌹👌👍🙏,5,2025-01-01
Wafar .k,Omkmjj.ñmmmm kk honCxxxx DDn BB cc kk by hm uu DD BB uu. V cc FCC registered in cc t FCC ct tt r u t r,4,2025-01-01
Karamat Khan,The best apps 5 star is my followers,5,2025-01-01
Ranveer Singh,Illigal video ban honi chahiye please,1,2025-01-01
arvind kumar,👍👍👍👍👍👍👍👍👍👍,5,2025-01-01
Rabnawaz Phulpoto,He app wado Bhar Joo jhud aahe,1,2025-01-01
Jonathan Wade,like it,5,2025-01-01
Usman Ali 299,میری فیزبک ڈیلیٹ ہوگئی تھی جس کی وجہ سے دوبارہ ڈاؤن لوڈ کر رہا ہوں 📢📢🇵🇰🇵🇰,5,2025-01-01
English us2024,good app,1,2025-01-01
Biplab Biswas,Nice ❤️,5,2025-01-01
Bruce Fox,"Full of abhorrent comments about peoples races, sexuality, gender and minors!! No matter how many I report they're never removed. Now I have a deleted comment and a restriction for calling someone out for awful abuse and racism whilst their comment remains visible with zero repercussions. Facebook dont care about people, they don't care about the toxic filth people spew about innocent people or what that does to people's mental health, they only care about naughty words. PATHETIC and weak.",1,2025-01-01
Marta Hryvniak,This app had so many random bugs that it's often unusable. It's hard to believe it's one of the biggest products nowadays 🤦🏻 What a shame!,1,2025-01-01
Choudhray boy CHOUDHRAY,one problem hai onli baki sb all right hai,5,2025-01-01
Mimi Bekele,App,4,2025-01-01
Rosebel Bacalso,Oky,5,2025-01-01
Teny Mayian Roak,N/A,5,2025-01-01
Brundabana Hikaka,Van,4,2025-01-01
Md pappu Md pappu,femas,5,2025-01-01
Junel Mangubat,slow,1,2025-01-01
Rupesh Lohakare,most beutiful,5,2025-01-01
Peggy Case,don't like ! ! !,1,2025-01-01
Monir Mia,good 👍👍👍,5,2025-01-01
Ernestas Labalaukis,"Adware. They adding actual ""ad breaks"" while scrolling. Like seriously!? Every second post is an ad or showelware. Imposoble to use",1,2025-01-01
Somrit Somrit,nic,5,2025-01-01
Ajay Kumar,Facebook open ho raha hai to koi ke video nahin de raha hai dekhne ke liye,1,2025-01-01
Suraj Satik,op😊,5,2025-01-01
Rina Akter,mohammadyousuf,5,2025-01-01
Hasang Dss,lalruat sangaa,1,2025-01-01
Rupesh Pandey,super 😍,5,2025-01-01
Erica Sacky,The best app for social networking,5,2025-01-01
Mandira Singha,very good 😊❤️❤️,5,2025-01-01
MD. AL AMIN,Facebook is one of the means to communicate with your family friends and people from any part of the world.,4,2025-01-01
Ajjappa Maddappagoudra,Jay Shivaji,5,2025-01-01
Ali Bhaiji,bast app in the world,5,2025-01-01
Tyokase Faith,very impressive 👏👏,5,2025-01-01
K.S.K,use full app,5,2025-01-01
MD SOZlB,সুপার,1,2025-01-01
Laxmi Kishan,You can use future cand now,1,2025-01-01
Ken Williams,"Fb messenger glitched and sent, then removed pics of women in lingerie to the person I was messaging. She accused me of sending the pictures to the wrong person and lying, when I denied sending any pictures or messaging anyone else at the time. She refused to allow me to prove fb messenger glitched. If I removed pictures from her side of our messaging thread we both would have notifications stating as such, in place of what was deleted. A 40 year friendship ended, because fb messenger glitched.",1,2025-01-01
AURAS PLUS Ayurveda,जबरजस्त,5,2025-01-01
mdismail ismailkhan,mdismailkhan,5,2025-01-01
Md Rahim,thanks you,5,2025-01-01
MrMalik,It is so exiting app,5,2025-01-01
Douglas Bogle,this is so funny 😂,5,2025-01-01
Mohammad Taukeer Siddiqui,amazing Also help full,5,2025-01-01
Mondol Pranto,Hi Facebook company,5,2025-01-01
HR studio Jirauli,Sar facebook par short story vali video par try again likh kar aata hai is ki samsya ko jaldi samadhan,5,2025-01-01
Subhash Chandra,This is the best social media platform,5,2025-01-01
Ataullah Nore. Ataullah Nore.,সেরা অ্যাপস,5,2025-01-01
Tanveer Faraz,for you 💖,5,2025-01-01
Ahmed Abdullahi,the app is cool but it'll be even great if you can earn from the ads showing on your profile while you scroll,3,2025-01-01
Wayan Sumawati,"Happy New Year 2025, tutup tahun 2024 dengan penuh rasa syukur,,,dan semoga di tahun 2025 menjadi tahun yg penuh berkah, salam sehat dan bahagiaaa selaluuu utk semuaaa...🫰🏻🙏🫰🏻",5,2025-01-01
Toyin Job,Fake &unwelcome humans are wasting time and energy so many to block or deleted,5,2025-01-01
Taz J,"I was cleaning my house with my phone in my pocket, and I was locked out of my account for selling items I didn't try to sell. Of course, everything is AI generated. I'm not sure if my account has been compromised or what. Of course, I tried to regain my account, to not avail. How pathetic. If it's about my name, I use alias, bc I have LEGIT STALKERS!",1,2025-01-01
Haseeb Kayani,ahmm it's good I like it 🚶👍,3,2025-01-01
Sachin Hegde,"Even while watching a video or scrolling through posts,plz fix this asap",1,2025-01-01
Sudhanthiran Sudhanthiran,"This app is very cool and Yale knowledge. I am very proud of using this app. ,😃😄😅😅😃😅😅😅",5,2025-01-01
Zhane Bree Mañas,So good,1,2025-01-01
It’s Xibon,bad,2,2025-01-01
DAVAASUREN Narmandakh,facebook хурдан байвал сайн,5,2025-01-01
Rhamz Muyong,Wonderful apps,5,2025-01-01
Md Sohel,Wenderfull,5,2025-01-01
Vicente Reyes,"Wonderful! Congratulations! However, there seems to be some confusion in the title of the Réunion!",5,2025-01-01
Ramesh Kumar Verma,contant Monitize Tolls Available Now,5,2025-01-01
mokkk kka,Facebook is deleted my account without any further reasons which causes to me a great problem with my daily routine,1,2025-01-01
Binita Bhujel,thanks for everything,5,2025-01-01
Sohail Khan,Niccccc,1,2025-01-01
Asad Shah,😍☺️☺️,5,2025-01-01
Sothun Phuong,Very nice,5,2025-01-01
Varish Khan,Sohil khan Please Varish khan,5,2025-01-01
mark vallespin,BIAS!!!!!!!,5,2025-01-01
Gagan Yadav,बहुत बेकारअप है,1,2025-01-01
Syed manan,Abdulmananshah,5,2025-01-01
Meenakshi Div,Facebook kaise chalegi Kapas mein kya,5,2025-01-01
Clinton Engti,"Whatsapp not installed problem, Emergency for me please solve my problem, I'm waiting for good discussion",5,2025-01-01
Rokibul Md,MdMahide,5,2025-01-01
Ranjana Pidika,Ranjan pidika 235,5,2025-01-01
Eglen Carsido,very helpful,5,2025-01-01
Md Biplob,Best of Facebook,1,2025-01-01
Ravi Bilwal,😗😗😗😗😗😗,4,2025-01-01
Sandra Gertz,Great way to keep up with family and friends. Great place to sell things when you spring clean your house. Great place to promote your business. Great place to join hobby groups or gamer groups. Just a great place to come together.,5,2025-01-01
Pradip Bauri,best mobile,5,2025-01-01
Khalil Afridi,I cannot post in multiple groups at A time my post gets rejected everytime the uploading shows eror,1,2025-01-01
Prafulla,RT u,4,2025-01-01
Justine De guzman,I love you,5,2025-01-01
Chhotu Kumar,Show stories,5,2025-01-01
Saqib Ali,Very nice 💯🙂💯🙂,4,2025-01-01
Mujtaba Habib,It's bad,5,2025-01-01
Sumatin Ronel,Ronel. Sumatin,5,2025-01-01
Herb Lorenzo,great great great....,5,2025-01-01
Jhan Mori,Hu Hey you,5,2025-01-01
Ryan D,"when people speak the truth, Facebook punishes them.",1,2025-01-01
Rona Limboo,fantastic,5,2025-01-01
Vishnu Raj,Dear facebook team why story disable my Facebook please solve this problem,1,2025-01-01
Reshma Laila,its so helpful,5,2025-01-01
Radha Yadav,Mast aap hai yaaaaaar...,5,2025-01-01
Rashid Rashi Rashi,Nice 👍🙂👍👍,5,2025-01-01
farzana bobi,the app is useful,5,2025-01-01
Entienza Bermie V.,God bless,5,2025-01-01
Ram Krishan,Dilat,1,2025-01-01
R R,👍,5,2025-01-01
Vshs Bs,Hii dear facebook team after earnings restriction payout holding very Bad for facebook creator so please review this update & change this and released after restriction payout please 😔,1,2025-01-01
Pinki Kumari,nice app for bgmi,4,2025-01-01
Zarina Khan,Tik maRk groups,4,2025-01-01
Piyali Sapui,This is bad,1,2025-01-01
Md Tamim,00a,5,2025-01-01
Honeymae Nuñez,Exelent,5,2025-01-01
Danish Khan,फेसबुक स्टेटस नहीं आ रहा है,5,2025-01-01
Deepa Ak,A q l,4,2025-01-01
Dtac 21,good to use dtac,5,2025-01-01
Socorro Duran,"Biglang nawala ang Facebook, messenger, dito, gcash application ko",5,2025-01-01
B,AI is terrible,1,2025-01-01
Ta-Ta Bain,"I love his energy, and that smile just lights the world.",5,2025-01-01
Punam Kumari,Poonam,5,2025-01-01
Shohidul Islam,Love you do teme,4,2025-01-01
Ba Gyi,Like,5,2025-01-01
Md Sharif,Great work. My favourite this apps. Nice,5,2025-01-01
Dalki Jagdish,જય માતાજી,1,2025-01-01
Bhim Kumar,Stetas problem,5,2025-01-01
Hannah Pham,suck! I can't delete my accounts and can't even log in to my old account. help center can't is useless. as soon as you open the account you can't delete it.,1,2025-01-01
Merica Langa,Excited,5,2025-01-01
Jeraldine Pelayo,thank God for that one in my life,5,2025-01-01
mohamed salah ustaz,"My account automatically got logged out and I tried to log in back, all they keep telling me is this may be a cause of technical error that we are working on to fix (unexpected error occurred), if care isn't taken account gets suspended..I need my account back please",5,2025-01-01
mehedi hasan,Sumi akther,5,2025-01-01
Jea Ikiwa,MY FAVOURITE KARE KARE WANNA learn hoe to cook!!,5,2025-01-01
Neha Jha,Wonderful,5,2025-01-01
Ashraf Ali,নাইচ,5,2025-01-01
Elesio Jr Pamor,Agree,5,2025-01-01
Asrafull Islam,nice otp,5,2025-01-01
Julie Gonzalez,access to family and friends.,5,2025-01-01
